codigo,nome_do_curso,acertos_do_primeiro,acertos_do_ultimo,total_de_vagas,ano
333.0,oceanografia,77.16,65.99,21.0,2008
104.0,odontologia,82.82,66.12,63.0,2008
308.0,pedagogia,63.05,42.28,70.0,2008
319.0,psicologia,75.79,61.03,56.0,2008
217.0,quimica,77.22,54.51,56.0,2008
309.0,servico social  diurno,64.57,37.56,56.0,2008
339.0,servico social  noturno,55.05,43.4,42.0,2008
238.0,sistemas de informacao  noturno,76.49,63.43,70.0,2008
502.0,zootecnia,65.23,46.92,42.0,2008
316.0,administracao  noturno,71.86,52.51,70.0,2009
501.0,agronomia,68.35,48.63,70.0,2009
207.0,arquitetura e urbanismo,80.89,66.5,56.0,2009
451.0,artes cenicas  hab em teatro,64.56,46.23,21.0,2009
324.0,biblioteconomia  noturno,61.46,34.94,56.0,2009
503.0,ciencia e tecnol agroalimentar  diurno,69.14,45.54,42.0,2009
108.0,ciencias biologicas,81.52,63.28,56.0,2009
302.0,ciencias contabeis  diurno,74.24,52.69,63.0,2009
317.0,ciencias contabeis  noturno,70.04,49.42,63.0,2009
208.0,ciencias da computacao,81.19,61.59,70.0,2009
304.0,ciencias economicas  diurno,79.08,55.35,63.0,2009
318.0,ciencias economicas  noturno,76.82,50.67,63.0,2009
310.0,ciencias sociais  diurno,75.17,47.09,30.0,2009
320.0,ciencias sociais  noturno,74.63,45.71,33.0,2009
450.0,cinema,78.62,62.21,21.0,2009
453.0,design de animacao,70.58,56.95,28.0,2009
452.0,design de produto,70.26,53.74,28.0,2009
420.0,design grafico,77.92,61.2,28.0,2009
303.0,direito  diurno,84.12,71.89,63.0,2009
5.0,direito  noturno,81.94,70.94,63.0,2009
444.0,educacao fisica  bacharelado,76.5,49.38,42.0,2009
404.0,educacao fisica  licenciatura,67.72,45.21,42.0,2009
101.0,enfermagem,68.31,47.18,52.0,2009
220.0,eng de controle e automacao,83.76,72.02,51.0,2009
201.0,engenharia civil,83.52,67.88,77.0,2009
215.0,engenharia de alimentos,74.19,61.33,35.0,2009
234.0,engenharia de aquicultura,64.49,41.5,49.0,2009
233.0,engenharia de materiais,78.92,64.73,49.0,2009
212.0,engenharia de producao civil,76.12,66.25,28.0,2009
213.0,engenharia de producao eletrica,73.63,64.18,28.0,2009
214.0,engenharia de producao mecanica,81.35,71.21,28.0,2009
202.0,engenharia eletrica,81.74,64.55,70.0,2009
203.0,engenharia mecanica,88.87,73.69,77.0,2009
216.0,engenharia quimica,84.29,69.58,35.0,2009
